#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
1,Eppeltone Engineers,Energy (Electricity Transmission),$2.29M,Post IPO,Waaree Energies,August 2026,Unverified — no corroboration found,,Unverified,
2,LogiXair,Consumer/Logistics Tech,Undisclosed,Seed,"TCA, T-Hub",August 2026,Unverified — no corroboration found,,Unverified,
3,FlowerAura,Consumer/Online Gifting,$10.5M,Series A,Faering Capital,August 2026,YourStory,https://yourstory.com/2026/08/bakingo-parent-fa-gifts-raises-nearly-100-crore-faering-capital,Unclear,[DISCREPANCY] No independent FlowerAura round found; only sibling company Bakingo's Series B raise is documented under the same investor.
4,Bakingo,Consumer/Online Gifting,$10.5M,Series B,Faering Capital,August 2026,Entrackr,https://entrackr.com/exclusive/exclusive-bakingo-raises-rs-100-cr-at-26x-higher-valuation-12246734,Series B,
5,BlissClub,Consumer/Fashion Tech,$16.8M,Series A,Singularity AMC,August 2026,Entrackr,https://entrackr.com/news/d2c-athleisure-brand-blissclub-raises-rs-160-cr-in-series-b-led-by-singularity-amc-12238770,Series B,[DISCREPANCY] Listed as Series A; press reports Series B.
6,Benne,Food/Food Service,$3.7M,Seed,Claypond Capital,August 2026,Entrackr,https://entrackr.com/exclusive/exclusive-dosa-chain-benne-raises-rs-35-cr-led-by-rajan-pais-claypond-capital-12238246,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
7,Mintoak,FinTech/Payments,$9M,Conventional Debt,BlackSoil,August 2026,Entrackr,https://entrackr.com/snippets/blacksoil-funds-rs-80-cr-debt-for-mintoaks-icc-loyalty-acquisition-12235773,Debt,
8,AMIGO,Food Tech,$473K,Seed,Foxhog.vc,August 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-food-delivery-startup-amigo-secures-rs-45-cr-expands-kolkata,Pre-seed,
9,90+ My Tuition App,EdTech/K-12,Undisclosed,Series A,Equity Intelligence,August 2026,Unverified — no corroboration found,,Unverified,
10,Vasuki India,Financial Services/Asset Mgmt,$10.5M,Series A,Undisclosed,August 2026,Unverified — no corroboration found,,Unverified,
11,Consint,HealthTech/Healthcare IT,$2.31M,Series A,BIG Global Investments,August 2026,Entrackr,https://entrackr.com/snippets/healthcare-ai-startup-consintai-raises-rs-22-cr-in-series-a-round-12234521,Series A,
12,Hulp,Consumer/Local Services,$2.6M,Seed,Sparrow Capital,August 2026,Inc42,https://inc42.com/buzz/ai-concierge-startup-hulp-raises-2-6-mn-from-sparrow-capital-bitkraft/,Seed,
